Region,Country,ItemType,SalesChannel,OrderPriority,OrderID,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Sub-Saharan Africa,Liberia,Office Supplies,Offline,C,459112060,316,651.21,524.96,205782.36,165887.36,39895
Asia,China,Office Supplies,Online,C,893779695,8128,651.21,524.96,5293034.88,4266874.88,1026160
Europe,Andorra,Meat,Offline,M,834460818,4355,421.89,364.69,1837330.95,1588224.95,249106
Sub-Saharan Africa,Niger,Beverages,Online,C,742141759,5093,47.45,31.79,241662.85,161906.47,79756.38
Europe,Hungary,Vegetables,Offline,M,248121345,3475,154.06,90.93,535358.5,315981.75,219376.75
Europe,Monaco,Clothes,Offline,M,404010903,4659,109.28,35.84,509135.52,166978.56,342156.96
Australia and Oceania,Tuvalu,Household,Online,L,531734263,840,668.27,502.54,561346.8,422133.6,139213.2
Sub-Saharan Africa,South Sudan,Baby Food,Online,C,473527753,6240,255.28,159.42,1592947.2,994780.8,598166.4
Europe,Cyprus,Cereal,Offline,M,141940200,2114,205.7,117.11,434849.8,247570.54,187279.26
Europe,Poland,Household,Offline,M,869832932,1749,668.27,502.54,1168804.23,878942.46,289861.77
Sub-Saharan Africa,Liberia,Snacks,Online,H,460379779,5462,152.58,97.44,833391.96,532217.28,301174.68
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Online,C,837067067,5602,154.06,90.93,863044.12,509389.86,353654.26
Asia,Kyrgyzstan,Beverages,Online,C,393693625,1547,47.45,31.79,73405.15,49179.13,24226.02
Europe,Slovakia,Vegetables,Offline,L,744370782,4711,154.06,90.93,725776.66,428371.23,297405.43
Asia,Malaysia,Cosmetics,Offline,M,873522365,3534,437.2,263.33,1545064.8,930608.22,614456.58
Sub-Saharan Africa,Liberia,Beverages,Online,L,285884702,8491,47.45,31.79,402897.95,269928.89,132969.06
Australia and Oceania,Vanuatu,Cosmetics,Online,H,356506621,7086,437.2,263.33,3097999.2,1865956.38,1232042.82
Australia and Oceania,Kiribati,Baby Food,Offline,L,280749452,8856,255.28,159.42,2260759.68,1411823.52,848936.16
Middle East and North Africa,Turkey,Baby Food,Online,M,224287021,368,255.28,159.42,93943.04,58666.56,35276.48
Europe,San Marino,Fruits,Offline,M,873105657,221,9.33,6.92,2061.93,1529.32,532.61
Europe,Vatican City,Snacks,Offline,C,283504188,4044,152.58,97.44,617033.52,394047.36,222986.16
Middle East and North Africa,Morocco,Beverages,Offline,C,632093942,9499,47.45,31.79,450727.55,301973.21,148754.34
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,L,565798747,1277,421.89,364.69,538753.53,465709.13,73044.4
Middle East and North Africa,Jordan,Vegetables,Online,M,151854932,6104,154.06,90.93,940382.24,555036.72,385345.52
Asia,Kyrgyzstan,Vegetables,Online,H,427811324,7733,154.06,90.93,1191345.98,703161.69,488184.29
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,L,251529252,1950,9.33,6.92,18193.5,13494,4699.5
Australia and Oceania,East Timor,Snacks,Offline,C,351182544,1574,152.58,97.44,240160.92,153370.56,86790.36
Europe,Estonia,Meat,Offline,H,175257527,1452,421.89,364.69,612584.28,529529.88,83054.4
Asia,Bangladesh,Snacks,Online,H,142553031,3465,152.58,97.44,528689.7,337629.6,191060.1
Sub-Saharan Africa,Senegal,Fruits,Offline,H,292180383,1523,9.33,6.92,14209.59,10539.16,3670.43
Middle East and North Africa,Pakistan,Fruits,Offline,L,733563411,6569,9.33,6.92,61288.77,45457.48,15831.29
Europe,Czech Republic,Beverages,Online,H,296438443,1578,47.45,31.79,74876.1,50164.62,24711.48
Sub-Saharan Africa,Ghana,Meat,Offline,C,580854308,6552,421.89,364.69,2764223.28,2389448.88,374774.4
Asia,Japan,Cosmetics,Offline,H,107172334,3530,437.2,263.33,1543316,929554.9,613761.1
Asia,Kazakhstan,Baby Food,Offline,H,166066348,1578,255.28,159.42,402831.84,251564.76,151267.08
Central America and the Caribbean,The Bahamas,Snacks,Offline,H,768522679,1794,152.58,97.44,273728.52,174807.36,98921.16
Sub-Saharan Africa,Ethiopia,Household,Online,M,195840156,2309,668.27,502.54,1543035.43,1160364.86,382670.57
Sub-Saharan Africa,Burkina Faso,Cosmetics,Offline,L,849630105,3284,437.2,263.33,1435764.8,864775.72,570989.08
Sub-Saharan Africa,Madagascar,Fruits,Offline,M,701816356,1910,9.33,6.92,17820.3,13217.2,4603.1
Europe,Netherlands,Office Supplies,Online,M,944635236,7413,651.21,524.96,4827419.73,3891528.48,935891.25
Europe,Greece,Vegetables,Online,L,140635573,6046,154.06,90.93,931446.76,549762.78,381683.98
Middle East and North Africa,Egypt,Meat,Online,C,972678697,6096,421.89,364.69,2571841.44,2223150.24,348691.2
Sub-Saharan Africa,South Sudan,Fruits,Online,M,793938434,2880,9.33,6.92,26870.4,19929.6,6940.8
Europe,Kosovo,Baby Food,Online,L,177901113,3747,255.28,159.42,956534.16,597346.74,359187.42
Asia,Brunei,Beverages,Online,L,668365561,3077,47.45,31.79,146003.65,97817.83,48185.82
Australia and Oceania,Australia,Vegetables,Online,C,729443109,7281,154.06,90.93,1121710.86,662061.33,459649.53
Sub-Saharan Africa,Cape Verde,Fruits,Offline,H,695557582,9800,9.33,6.92,91434,67816,23618
Sub-Saharan Africa,Malawi,Household,Offline,H,521445310,6110,668.27,502.54,4083129.7,3070519.4,1012610.3
Asia,Philippines,Personal Care,Online,L,232155120,8714,81.73,56.67,712195.22,493822.38,218372.84
Europe,Estonia,Beverages,Online,L,373048341,2149,47.45,31.79,101970.05,68316.71,33653.34
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,Offline,L,659798800,7982,651.21,524.96,5197958.22,4190230.72,1007727.5
Asia,Mongolia,Household,Online,C,428392827,9812,668.27,502.54,6557065.24,4930922.48,1626142.76
Asia,Japan,Personal Care,Offline,M,885129249,8269,81.73,56.67,675825.37,468604.23,207221.14
Sub-Saharan Africa,Niger,Meat,Online,C,156619393,6014,421.89,364.69,2537246.46,2193245.66,344000.8
Middle East and North Africa,Egypt,Baby Food,Offline,M,939787089,2739,255.28,159.42,699211.92,436651.38,262560.54
Central America and the Caribbean,Saint Lucia,Vegetables,Online,C,151868665,168,154.06,90.93,25882.08,15276.24,10605.84
Middle East and North Africa,Qatar,Cereal,Offline,C,180412948,7055,205.7,117.11,1451213.5,826211.05,625002.45
Sub-Saharan Africa,Mali,Fruits,Offline,H,333281266,4188,9.33,6.92,39074.04,28980.96,10093.08
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,L,888647449,9383,437.2,263.33,4102247.6,2470825.39,1631422.21
Sub-Saharan Africa,Swaziland,Clothes,Offline,M,844997823,2488,109.28,35.84,271888.64,89169.92,182718.72
Asia,Mongolia,Fruits,Online,M,171131217,385,9.33,6.92,3592.05,2664.2,927.85
Sub-Saharan Africa,Botswana,Office Supplies,Online,C,256158959,1983,651.21,524.96,1291349.43,1040995.68,250353.75
Europe,San Marino,Cosmetics,Online,H,759504878,3226,437.2,263.33,1410407.2,849502.58,560904.62
Middle East and North Africa,Oman,Fruits,Online,C,960905301,2087,9.33,6.92,19471.71,14442.04,5029.67
Asia,Bangladesh,Office Supplies,Offline,C,210409057,3570,651.21,524.96,2324819.7,1874107.2,450712.5
Sub-Saharan Africa,Namibia,Cosmetics,Offline,C,178377473,4713,437.2,263.33,2060523.6,1241074.29,819449.31
Asia,Mongolia,Fruits,Online,M,805484378,9582,9.33,6.92,89400.06,66307.44,23092.62
Asia,North Korea,Beverages,Online,C,752716100,4276,47.45,31.79,202896.2,135934.04,66962.16
Europe,Latvia,Clothes,Online,M,551371467,1925,109.28,35.84,210364,68992,141372
Sub-Saharan Africa,Burundi,Snacks,Offline,M,353061807,7689,152.58,97.44,1173187.62,749216.16,423971.46
Sub-Saharan Africa,Seychelles ,Personal Care,Online,C,379710948,3762,81.73,56.67,307468.26,213192.54,94275.72
Sub-Saharan Africa,Kenya,Cereal,Online,H,473555219,4368,205.7,117.11,898497.6,511536.48,386961.12
Sub-Saharan Africa,Benin,Office Supplies,Online,C,547143447,760,651.21,524.96,494919.6,398969.6,95950
Central America and the Caribbean,Saint Lucia,Personal Care,Online,C,133336961,6225,81.73,56.67,508769.25,352770.75,155998.5
Middle East and North Africa,Qatar,Meat,Online,H,635309588,1080,421.89,364.69,455641.2,393865.2,61776
Sub-Saharan Africa,Mozambique,Beverages,Online,C,376547658,7675,47.45,31.79,364178.75,243988.25,120190.5
Middle East and North Africa,Pakistan,Clothes,Offline,M,450849997,5388,109.28,35.84,588800.64,193105.92,395694.72
Asia,Taiwan,Personal Care,Online,M,672327935,5631,81.73,56.67,460221.63,319108.77,141112.86
Central America and the Caribbean,Cuba,Cereal,Offline,L,925405299,6847,205.7,117.11,1408427.9,801852.17,606575.73
Central America and the Caribbean,Cuba,Household,Offline,H,714818418,9509,668.27,502.54,6354579.43,4778652.86,1575926.57
Europe,Russia,Beverages,Offline,C,515616118,1122,47.45,31.79,53238.9,35668.38,17570.52
Europe,Switzerland,Cereal,Offline,C,423159730,1222,205.7,117.11,251365.4,143108.42,108256.98
Europe,Czech Republic,Personal Care,Offline,H,603123080,6377,81.73,56.67,521192.21,361384.59,159807.62
Europe,Poland,Meat,Offline,C,841492497,5185,421.89,364.69,2187499.65,1890917.65,296582
Sub-Saharan Africa,Mauritius ,Cereal,Offline,L,994566810,3275,205.7,117.11,673667.5,383535.25,290132.25
Middle East and North Africa,Pakistan,Vegetables,Offline,M,538957345,8310,154.06,90.93,1280238.6,755628.3,524610.3
Sub-Saharan Africa,South Africa,Fruits,Offline,L,821587932,4981,9.33,6.92,46472.73,34468.52,12004.21
Sub-Saharan Africa,Seychelles ,Household,Online,C,109694898,13,668.27,502.54,8687.51,6533.02,2154.49
Sub-Saharan Africa,Benin,Meat,Offline,M,340827071,7159,421.89,364.69,3020310.51,2610815.71,409494.8
Sub-Saharan Africa,Benin,Meat,Offline,L,372845780,2207,421.89,364.69,931111.23,804870.83,126240.4
Central America and the Caribbean,Nicaragua,Fruits,Online,M,933924853,7973,9.33,6.92,74388.09,55173.16,19214.93
Middle East and North Africa,Lebanon,Office Supplies,Online,L,572550618,9306,651.21,524.96,6060160.26,4885277.76,1174882.5
Europe,Moldova ,Meat,Online,M,607521903,8086,421.89,364.69,3411402.54,2948883.34,462519.2
Middle East and North Africa,Tunisia ,Snacks,Online,H,177950036,8225,152.58,97.44,1254970.5,801444,453526.5
Australia and Oceania,Vanuatu,Beverages,Offline,M,293258845,664,47.45,31.79,31506.8,21108.56,10398.24
Sub-Saharan Africa,South Sudan,Beverages,Online,C,683184659,8377,47.45,31.79,397488.65,266304.83,131183.82
Europe,Sweden,Cereal,Online,L,247776305,1370,205.7,117.11,281809,160440.7,121368.3
Europe,Ireland,Meat,Offline,C,207395112,1677,421.89,364.69,707509.53,611585.13,95924.4
Europe,Italy,Vegetables,Offline,L,952714908,8367,154.06,90.93,1289020.02,760811.31,528208.71
Europe,Bosnia and Herzegovina,Vegetables,Online,C,694722020,2539,154.06,90.93,391158.34,230871.27,160287.07
Europe,Bosnia and Herzegovina,Household,Online,H,414715278,2321,668.27,502.54,1551054.67,1166395.34,384659.33
Europe,Poland,Snacks,Offline,M,714306008,7876,152.58,97.44,1201720.08,767437.44,434282.64
Middle East and North Africa,Kuwait,Snacks,Online,H,465418040,6396,152.58,97.44,975901.68,623226.24,352675.44
Sub-Saharan Africa,Sudan,Cereal,Online,M,860287702,7103,205.7,117.11,1461087.1,831832.33,629254.77
Middle East and North Africa,Saudi Arabia,Vegetables,Online,C,461463820,6254,154.06,90.93,963491.24,568676.22,394815.02
Sub-Saharan Africa,Swaziland,Baby Food,Offline,M,151807725,2134,255.28,159.42,544767.52,340202.28,204565.24
Sub-Saharan Africa,Rwanda,Meat,Offline,C,884493243,61,421.89,364.69,25735.29,22246.09,3489.2
Asia,Cambodia,Cosmetics,Offline,M,533006703,7383,437.2,263.33,3227847.6,1944165.39,1283682.21
Sub-Saharan Africa,Central African Republic,Vegetables,Online,C,641146934,8480,154.06,90.93,1306428.8,771086.4,535342.4
Asia,Maldives,Cosmetics,Offline,M,573025262,9764,437.2,263.33,4268820.8,2571154.12,1697666.68
Sub-Saharan Africa,Djibouti,Household,Offline,C,663065516,4676,668.27,502.54,3124830.52,2349877.04,774953.48
Asia,Tajikistan,Beverages,Online,M,866004025,8691,47.45,31.79,412387.95,276286.89,136101.06
Asia,Sri Lanka,Baby Food,Online,H,306889617,4312,255.28,159.42,1100767.36,687419.04,413348.32
Europe,Montenegro,Personal Care,Online,M,431083619,6077,81.73,56.67,496673.21,344383.59,152289.62
Middle East and North Africa,United Arab Emirates,Personal Care,Online,H,954259860,5553,81.73,56.67,453846.69,314688.51,139158.18
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,C,312404668,6338,81.73,56.67,518004.74,359174.46,158830.28
Sub-Saharan Africa,Seychelles ,Office Supplies,Offline,C,611816871,9063,651.21,524.96,5901916.23,4757712.48,1144203.75
Europe,Iceland,Office Supplies,Online,C,879107797,6388,651.21,524.96,4159929.48,3353444.48,806485
Sub-Saharan Africa,Nigeria,Vegetables,Offline,C,211201274,8005,154.06,90.93,1233250.3,727894.65,505355.65
Sub-Saharan Africa,Rwanda,Fruits,Online,H,925333631,5639,9.33,6.92,52611.87,39021.88,13589.99
Europe,Hungary,Snacks,Offline,C,909053695,8044,152.58,97.44,1227353.52,783807.36,443546.16
Europe,Belarus,Baby Food,Online,L,370222795,6007,255.28,159.42,1533466.96,957635.94,575831.02
Sub-Saharan Africa,South Sudan,Cosmetics,Offline,H,487014758,7344,437.2,263.33,3210796.8,1933895.52,1276901.28
Europe,Andorra,Vegetables,Online,M,257915914,1905,154.06,90.93,293484.3,173221.65,120262.65
Asia,Japan,Meat,Offline,M,551725089,6569,421.89,364.69,2771395.41,2395648.61,375746.8
Central America and the Caribbean,El Salvador,Meat,Offline,L,957553613,248,421.89,364.69,104628.72,90443.12,14185.6
Sub-Saharan Africa,Kenya,Office Supplies,Offline,L,234825313,8883,651.21,524.96,5784698.43,4663219.68,1121478.75
Europe,Bosnia and Herzegovina,Snacks,Online,M,363276517,449,152.58,97.44,68508.42,43750.56,24757.86
Europe,Andorra,Personal Care,Online,M,692956054,9950,81.73,56.67,813213.5,563866.5,249347
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,H,194225251,4423,437.2,263.33,1933735.6,1164708.59,769027.01
Australia and Oceania,Nauru,Fruits,Online,L,607757937,7934,9.33,6.92,74024.22,54903.28,19120.94
Europe,Czech Republic,Cereal,Offline,H,594540441,6583,205.7,117.11,1354123.1,770935.13,583187.97
Europe,Serbia,Vegetables,Online,L,685871589,3500,154.06,90.93,539210,318255,220955
Australia and Oceania,Tuvalu,Cereal,Offline,C,133362710,3844,205.7,117.11,790710.8,450170.84,340539.96
Sub-Saharan Africa,Madagascar,Clothes,Offline,H,958937633,9810,109.28,35.84,1072036.8,351590.4,720446.4
Sub-Saharan Africa,Ethiopia,Vegetables,Online,C,304832684,5620,154.06,90.93,865817.2,511026.6,354790.6
Asia,Malaysia,Baby Food,Offline,L,783596694,2530,255.28,159.42,645858.4,403332.6,242525.8
Sub-Saharan Africa,Tanzania,Household,Offline,C,128090989,3825,668.27,502.54,2556132.75,1922215.5,633917.25
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Offline,M,641489398,9823,154.06,90.93,1513331.38,893205.39,620125.99
Australia and Oceania,Solomon Islands,Clothes,Offline,M,647278249,2873,109.28,35.84,313961.44,102968.32,210993.12
Europe,Netherlands,Clothes,Online,H,339256370,2354,109.28,35.84,257245.12,84367.36,172877.76
Sub-Saharan Africa,Mali,Baby Food,Offline,M,431535089,9677,255.28,159.42,2470344.56,1542707.34,927637.22
Middle East and North Africa,Afghanistan,Cereal,Offline,C,808538234,3286,205.7,117.11,675930.2,384823.46,291106.74
Europe,Moldova ,Personal Care,Online,C,975002133,3653,81.73,56.67,298559.69,207015.51,91544.18
Asia,Bhutan,Snacks,Online,H,505975615,8283,152.58,97.44,1263820.14,807095.52,456724.62
Asia,Vietnam,Vegetables,Offline,M,396820008,6714,154.06,90.93,1034358.84,610504.02,423854.82
Europe,Portugal,Vegetables,Online,H,813209140,5511,154.06,90.93,849024.66,501115.23,347909.43
Europe,Spain,Baby Food,Online,M,641129338,3273,255.28,159.42,835531.44,521781.66,313749.78
Middle East and North Africa,Egypt,Meat,Offline,C,636879432,5632,421.89,364.69,2376084.48,2053934.08,322150.4
Europe,Belgium,Snacks,Online,C,277070748,246,152.58,97.44,37534.68,23970.24,13564.44
Asia,Malaysia,Cosmetics,Offline,H,908627116,1810,437.2,263.33,791332,476627.3,314704.7
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,C,798784863,7047,437.2,263.33,3080948.4,1855686.51,1225261.89
Europe,Estonia,Beverages,Offline,H,985092818,9711,47.45,31.79,460786.95,308712.69,152074.26
Sub-Saharan Africa,Burundi,Snacks,Offline,C,325412309,5588,152.58,97.44,852617.04,544494.72,308122.32
Europe,Latvia,Beverages,Online,M,447917163,7497,47.45,31.79,355732.65,238329.63,117403.02
Asia,Tajikistan,Meat,Offline,M,801093709,285,421.89,364.69,120238.65,103936.65,16302
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,H,903740775,5833,9.33,6.92,54421.89,40364.36,14057.53
Sub-Saharan Africa,Comoros,Meat,Offline,L,794969689,8052,421.89,364.69,3397058.28,2936483.88,460574.4
Sub-Saharan Africa,Namibia,Clothes,Online,L,584204280,7884,109.28,35.84,861563.52,282562.56,579000.96
Europe,Slovenia,Cereal,Offline,H,901180875,8302,205.7,117.11,1707721.4,972247.22,735474.18
Europe,Bulgaria,Snacks,Offline,L,645948302,9312,152.58,97.44,1420824.96,907361.28,513463.68
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,L,138867890,2950,205.7,117.11,606815,345474.5,261340.5
Sub-Saharan Africa,Lesotho,Beverages,Offline,L,670613467,8282,47.45,31.79,392980.9,263284.78,129696.12
Asia,Sri Lanka,Cosmetics,Offline,L,452171361,6409,437.2,263.33,2802014.8,1687681.97,1114332.83
Australia and Oceania,East Timor,Snacks,Online,H,464840400,5459,152.58,97.44,832934.22,531924.96,301009.26
Europe,Belarus,Household,Online,M,410231912,5594,668.27,502.54,3738302.38,2811208.76,927093.62
Sub-Saharan Africa,Benin,Meat,Offline,H,960269725,4006,421.89,364.69,1690091.34,1460948.14,229143.2
Europe,Ireland,Beverages,Offline,L,607190167,9919,47.45,31.79,470656.55,315325.01,155331.54
Middle East and North Africa,Iran,Meat,Offline,H,613542068,9587,421.89,364.69,4044659.43,3496283.03,548376.4
Sub-Saharan Africa,Benin,Household,Offline,C,962186753,1297,668.27,502.54,866746.19,651794.38,214951.81
Sub-Saharan Africa,South Sudan,Beverages,Online,L,806298053,366,47.45,31.79,17366.7,11635.14,5731.56
Sub-Saharan Africa,Comoros,Personal Care,Online,L,719362294,4144,81.73,56.67,338689.12,234840.48,103848.64
Europe,Poland,Baby Food,Online,H,445178306,7008,255.28,159.42,1789002.24,1117215.36,671786.88
Europe,Bosnia and Herzegovina,Cosmetics,Offline,C,247857415,5372,437.2,263.33,2348638.4,1414608.76,934029.64
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,461823451,2677,154.06,90.93,412418.62,243419.61,168999.01
Europe,Spain,Office Supplies,Offline,C,141812741,4396,651.21,524.96,2862719.16,2307724.16,554995
Middle East and North Africa,Iran,Meat,Online,C,212874114,3036,421.89,364.69,1280858.04,1107198.84,173659.2
Central America and the Caribbean,Guatemala,Office Supplies,Offline,C,320368897,3131,651.21,524.96,2038938.51,1643649.76,395288.75
Australia and Oceania,East Timor,Beverages,Online,C,179970920,6249,47.45,31.79,296515.05,198655.71,97859.34
Middle East and North Africa,Bahrain,Household,Online,H,927666509,5990,668.27,502.54,4002937.3,3010214.6,992722.7
Sub-Saharan Africa,Ethiopia,Office Supplies,Online,L,169754493,2982,651.21,524.96,1941908.22,1565430.72,376477.5
Australia and Oceania,Solomon Islands,Personal Care,Offline,M,532846200,9886,81.73,56.67,807982.78,560239.62,247743.16
Central America and the Caribbean,Belize,Snacks,Online,C,213865458,6397,152.58,97.44,976054.26,623323.68,352730.58
Asia,Sri Lanka,Office Supplies,Online,C,630048596,4236,651.21,524.96,2758525.56,2223730.56,534795
Central America and the Caribbean,Costa Rica,Clothes,Offline,H,568944442,2158,109.28,35.84,235826.24,77342.72,158483.52
Sub-Saharan Africa,Nigeria,Baby Food,Online,L,238414323,951,255.28,159.42,242771.28,151608.42,91162.86
Middle East and North Africa,Iran,Office Supplies,Online,L,816632068,8431,651.21,524.96,5490351.51,4425937.76,1064413.75
Sub-Saharan Africa,Djibouti,Baby Food,Online,C,402084004,4447,255.28,159.42,1135230.16,708940.74,426289.42
Asia,South Korea,Snacks,Online,L,763568961,5879,152.58,97.44,897017.82,572849.76,324168.06
Central America and the Caribbean,Dominica,Snacks,Offline,L,590198266,1637,152.58,97.44,249773.46,159509.28,90264.18
Asia,Vietnam,Snacks,Online,L,441395747,7665,152.58,97.44,1169525.7,746877.6,422648.1
Europe,Norway,Personal Care,Offline,H,496897733,1936,81.73,56.67,158229.28,109713.12,48516.16
Central America and the Caribbean,Haiti,Beverages,Online,C,106753051,9455,47.45,31.79,448639.75,300574.45,148065.3
Central America and the Caribbean,Jamaica,Fruits,Offline,L,941323029,7258,9.33,6.92,67717.14,50225.36,17491.78
Sub-Saharan Africa,Sudan,Vegetables,Offline,M,241281497,9412,154.06,90.93,1450012.72,855833.16,594179.56
Sub-Saharan Africa,Angola,Meat,Offline,L,267614781,2016,421.89,364.69,850530.24,735215.04,115315.2
Central America and the Caribbean,Panama,Cosmetics,Offline,M,651621711,8200,437.2,263.33,3585040,2159306,1425734
Europe,Greece,Personal Care,Online,M,644913613,3124,81.73,56.67,255324.52,177037.08,78287.44
Sub-Saharan Africa,Madagascar,Cereal,Offline,H,469414317,8983,205.7,117.11,1847803.1,1051999.13,795803.97
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,L,867360150,9998,109.28,35.84,1092581.44,358328.32,734253.12
North America,Greenland,Clothes,Online,L,851299941,7425,109.28,35.84,811404,266112,545292
Middle East and North Africa,Libya,Beverages,Offline,H,854095017,4550,47.45,31.79,215897.5,144644.5,71253
Europe,Belarus,Vegetables,Offline,C,478919208,1691,154.06,90.93,260515.46,153762.63,106752.83
Middle East and North Africa,Lebanon,Clothes,Offline,H,749258840,1196,109.28,35.84,130698.88,42864.64,87834.24
Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,958912742,2444,255.28,159.42,623904.32,389622.48,234281.84
Central America and the Caribbean,Barbados,Personal Care,Online,C,921992242,6848,81.73,56.67,559687.04,388076.16,171610.88
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,L,522921168,2849,154.06,90.93,438916.94,259059.57,179857.37
Europe,Finland,Personal Care,Offline,C,166435849,921,81.73,56.67,75273.33,52193.07,23080.26
Central America and the Caribbean,Haiti,Baby Food,Offline,L,327585113,8569,255.28,159.42,2187494.32,1366069.98,821424.34
Sub-Saharan Africa,Niger,Clothes,Offline,M,201730287,5330,109.28,35.84,582462.4,191027.2,391435.2
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,L,854545199,7769,9.33,6.92,72484.77,53761.48,18723.29
Central America and the Caribbean,Grenada,Personal Care,Online,M,272016179,4487,81.73,56.67,366722.51,254278.29,112444.22
Central America and the Caribbean,Dominican Republic,Cereal,Offline,H,110442054,1113,205.7,117.11,228944.1,130343.43,98600.67
Europe,Monaco,Household,Offline,C,746434152,5308,668.27,502.54,3547177.16,2667482.32,879694.84
Europe,Estonia,Vegetables,Online,L,826916301,1764,154.06,90.93,271761.84,160400.52,111361.32
Europe,Italy,Beverages,Offline,H,419124829,7206,47.45,31.79,341924.7,229078.74,112845.96
Asia,Malaysia,Office Supplies,Online,C,560608565,5387,651.21,524.96,3508068.27,2827959.52,680108.75
Sub-Saharan Africa,Ghana,Office Supplies,Offline,L,109228837,2095,651.21,524.96,1364284.95,1099791.2,264493.75
Middle East and North Africa,Pakistan,Clothes,Offline,C,693159472,146,109.28,35.84,15954.88,5232.64,10722.24
Asia,Sri Lanka,Snacks,Offline,L,860886800,4390,152.58,97.44,669826.2,427761.6,242064.6
Europe,Romania,Fruits,Offline,C,131209647,6705,9.33,6.92,62557.65,46398.6,16159.05
Middle East and North Africa,Qatar,Office Supplies,Online,H,343239343,1004,651.21,524.96,653814.84,527059.84,126755
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,H,706399714,8228,109.28,35.84,899155.84,294891.52,604264.32
Middle East and North Africa,Egypt,Office Supplies,Online,M,950427091,1352,651.21,524.96,880435.92,709745.92,170690
Middle East and North Africa,Iran,Snacks,Offline,H,875370299,379,152.58,97.44,57827.82,36929.76,20898.06
Middle East and North Africa,Somalia,Clothes,Online,C,801590669,7347,109.28,35.84,802880.16,263316.48,539563.68
Middle East and North Africa,Syria,Personal Care,Offline,C,219762027,1322,81.73,56.67,108047.06,74917.74,33129.32
Australia and Oceania,Solomon Islands,Cereal,Offline,C,940870702,3404,205.7,117.11,700202.8,398642.44,301560.36
Central America and the Caribbean,Guatemala,Fruits,Online,M,346215522,1721,9.33,6.92,16056.93,11909.32,4147.61
Middle East and North Africa,Kuwait,Clothes,Offline,C,837407815,6436,109.28,35.84,703326.08,230666.24,472659.84
Middle East and North Africa,Jordan,Meat,Online,L,386371409,4741,421.89,364.69,2000180.49,1728995.29,271185.2
Australia and Oceania,Marshall Islands,Beverages,Offline,H,185342633,5859,47.45,31.79,278009.55,186257.61,91751.94
Middle East and North Africa,Egypt,Snacks,Offline,C,596870315,6045,152.58,97.44,922346.1,589024.8,333321.3
Europe,Switzerland,Meat,Online,C,703815782,3585,421.89,364.69,1512475.65,1307413.65,205062
Australia and Oceania,Samoa ,Personal Care,Online,C,559352862,3797,81.73,56.67,310328.81,215175.99,95152.82
Europe,Portugal,Cosmetics,Offline,C,736967885,4029,437.2,263.33,1761478.8,1060956.57,700522.23
Europe,Albania,Clothes,Offline,C,980459678,8661,109.28,35.84,946474.08,310410.24,636063.84
Central America and the Caribbean,Dominica,Vegetables,Offline,C,653939568,4105,154.06,90.93,632416.3,373267.65,259148.65
Australia and Oceania,Tuvalu,Cosmetics,Online,H,991831386,3803,437.2,263.33,1662671.6,1001443.99,661227.61
Australia and Oceania,Marshall Islands,Cereal,Online,L,148871457,3227,205.7,117.11,663793.9,377913.97,285879.93
Europe,Bulgaria,Fruits,Online,H,850108611,4884,9.33,6.92,45567.72,33797.28,11770.44
Sub-Saharan Africa,Niger,Office Supplies,Offline,M,940904176,3309,651.21,524.96,2154853.89,1737092.64,417761.25
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,Offline,H,136931979,70,651.21,524.96,45584.7,36747.2,8837.5
Sub-Saharan Africa,Malawi,Beverages,Offline,L,474178349,8766,47.45,31.79,415946.7,278671.14,137275.56
Sub-Saharan Africa,Cape Verde,Personal Care,Offline,L,458942115,25,81.73,56.67,2043.25,1416.75,626.5
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,C,917834603,6510,47.45,31.79,308899.5,206952.9,101946.6
Europe,Greece,Personal Care,Offline,H,947779643,7913,81.73,56.67,646729.49,448429.71,198299.78
Europe,Monaco,Clothes,Online,L,166013562,5957,109.28,35.84,650980.96,213498.88,437482.08
Sub-Saharan Africa,Nigeria,Beverages,Online,L,960085189,9397,47.45,31.79,445887.65,298730.63,147157.02
Europe,Norway,Cosmetics,Offline,C,837855851,9020,437.2,263.33,3943544,2375236.6,1568307.4
North America,Greenland,Snacks,Offline,L,977499377,2643,152.58,97.44,403268.94,257533.92,145735.02
